Nyårsdagen,2018-01-01
Kung Carl XVI Gustafs namnsdag,2018-01-28
Kronprinsessan Victorias namnsdag,2018-03-12
Påskdagen,2018-04-01
Kung Carl XVI Gustafs födelsedag,2018-04-30
Första maj,2018-05-01
Pingstdagen,2018-05-20
Sveriges nationaldag,2018-06-06
Midsommardagen,2018-06-23
Kronprinsessan Victorias födelsedag,2018-07-14
Drottning Silvias namnsdag,2018-08-08
Dag för val till Sveriges riksdag,2018-09-09
FN-dagen,2018-10-24
Gustav Adolfsdagen,2018-11-06
Nobeldagen,2018-12-10
Drottning Silvias födelsedag,2018-12-23
Juldagen,2018-12-25
